year,Value_L,D_L,Reserve_L,ResVar_L
2001,9.567236101028574e11,14.070246811794302,1.056161145537e12,4.49998519847e11
2002,1.0301148683067715e12,13.631756068522733,1.10117753224e12,5.87184428695e11
2003,1.211780310904255e12,13.919333782751856,1.226868683947e12,6.40613342119e11
2004,1.2983331075809521e12,13.979974094524803,1.330181622613e12,6.76819924241e11
2005,1.4696440549041958e12,15.49579153072589,1.404789648671e12,7.02064337112e11
2006,1.4249931230799497e12,14.959155207574975,1.426368504108e12,6.9179602547e11
2007,1.4717182658867312e12,14.63778582652623,1.46767334948e12,6.90328163794e11
2008,1.6970028508819062e12,15.344493930048802,1.548637390941e12,7.6339626477e11
2009,1.8394428514658608e12,15.261541265628422,1.630094069152e12,7.72564517049e11
2010,1.9219769751161055e12,15.3237258098953,1.771414727556e12,8.05531399737e11
2011,2.1180817930347856e12,15.673929111829956,1.856733545762e12,8.87985517268e11
2012,2.626323150772527e12,18.35660531120621,1.924081236305e12,8.52480518879e11
2013,2.4621174089321045e12,16.678593492886037,2.006147419767e12,8.51034793516e11
2014,2.644209060647774e12,16.480040245545734,2.154662011344e12,7.97952807618e11
2015,2.9944066711655957e12,18.13869546579613,2.277387131882e12,8.48799307778e11
2016,3.2666140251649893e12,18.367560270049395,2.395337909397e12,8.73352546188e11
2017,3.2071271474798237e12,17.706570212317818,2.515147118318e12,8.7763952765e11
2018,3.1190935071646567e12,17.79298627677548,2.559115383179e12,9.74585873564e11
2019,3.5816952185474927e12,18.256965464362295,2.701959434155e12,9.8528287069e11
2020,4.438094022242524e12,20.54730084346247,2.76221357989e12,1.100884821138e12
